energy, number of points
0.113999,43.000000
0.140806,43.000000
0.143392,43.000000
0.143079,43.000000
0.236454,43.000000
0.099827,43.000000
0.049807,43.000000
0.049673,43.000000
0.131927,43.000000
0.131934,43.000000
0.107499,43.000000
0.244831,43.000000
0.223366,43.000000
0.227834,43.000000
0.081380,43.000000
0.081202,43.000000
0.031091,43.000000
0.087726,43.000000
0.171535,43.000000
0.170278,43.000000
0.220317,43.000000
0.219906,43.000000
0.284707,43.000000
0.040361,43.000000
0.034362,43.000000
0.071939,43.000000
0.180036,43.000000
0.170454,43.000000
0.104986,43.000000
0.243016,43.000000
0.175241,43.000000
0.146970,43.000000
0.080090,43.000000
0.094844,43.000000
0.134645,43.000000
0.093298,43.000000
0.093090,43.000000
0.039236,43.000000
0.144505,43.000000
0.281215,43.000000
0.280725,43.000000
0.191223,43.000000
0.190906,43.000000
0.117917,43.000000
0.027988,43.000000
0.035215,43.000000
0.139770,43.000000
0.270504,43.000000
0.323409,43.000000
0.301680,43.000000
0.191983,43.000000
0.098300,43.000000
0.072819,43.000000
0.068984,43.000000
0.103897,43.000000
0.089222,43.000000
0.270787,43.000000
0.302122,43.000000
0.166860,43.000000
0.151820,43.000000
0.085330,43.000000
0.036276,43.000000
0.077411,43.000000
0.080373,43.000000
0.135762,43.000000
0.196948,43.000000
0.196556,43.000000
0.118576,43.000000
0.089569,43.000000
0.164691,43.000000
0.065566,43.000000
0.033082,43.000000
0.032983,43.000000
0.176863,43.000000
0.165619,43.000000
0.114490,43.000000
0.180150,43.000000
0.213048,43.000000
0.156906,43.000000
0.039588,43.000000
0.025717,43.000000
0.029490,43.000000
0.135055,43.000000
0.228131,43.000000
0.223429,43.000000
0.241079,43.000000
0.158875,43.000000
0.025581,43.000000
0.026019,43.000000
0.083705,43.000000
0.249044,43.000000
0.195761,43.000000
0.122439,43.000000
0.228566,43.000000
0.092180,43.000000
0.091945,43.000000
0.077259,43.000000
0.077090,43.000000
0.075180,43.000000
0.118781,43.000000
0.132354,43.000000
0.071875,43.000000
0.114444,43.000000
0.191265,43.000000
0.054265,43.000000
0.070226,43.000000
0.058124,43.000000
0.026142,43.000000
0.037898,43.000000
0.112554,43.000000
0.097818,43.000000
0.097603,43.000000
0.261866,43.000000
0.090826,43.000000
0.052220,43.000000
0.074376,43.000000
0.051580,43.000000
0.061678,43.000000
0.164238,43.000000
0.201684,43.000000
0.098838,43.000000
0.041402,43.000000
0.069664,43.000000
0.049494,43.000000
0.089827,43.000000
0.097941,43.000000
0.097747,43.000000
0.123264,43.000000
0.123004,43.000000
0.110491,43.000000
0.050098,43.000000
0.030156,43.000000
0.069522,43.000000
0.033393,43.000000
0.030750,43.000000
0.126639,43.000000
0.141842,43.000000
0.170770,43.000000
0.177728,43.000000
0.177418,43.000000
0.146941,43.000000
0.032234,43.000000
0.035416,43.000000
0.093695,43.000000
0.079330,43.000000
0.202356,43.000000
0.149770,43.000000
0.151463,43.000000
0.131284,43.000000
0.024491,43.000000
0.023816,43.000000
0.046759,43.000000
0.161128,43.000000
0.105252,43.000000
0.128417,43.000000
0.058886,43.000000
0.058766,43.000000
0.028686,43.000000
0.045744,43.000000
0.061931,43.000000
0.166835,43.000000
0.190592,43.000000
0.098000,43.000000
0.118863,43.000000
0.084336,43.000000
0.025601,43.000000
0.016378,43.000000
0.022123,43.000000
0.079213,43.000000
0.079022,43.000000
0.149246,43.000000
0.141642,43.000000
0.168536,43.000000
0.079485,21.000000
0.096491,21.000000
0.096374,21.000000
0.096258,21.000000
0.103604,21.000000
0.103483,21.000000
0.103362,21.000000
0.103242,21.000000
0.079620,21.000000
0.079514,21.000000
0.079409,21.000000
0.092271,21.000000
0.092158,21.000000
0.092045,21.000000
0.104112,21.000000
0.103992,21.000000
0.103872,21.000000
